pos,points,matches_played,wins,draws,losses,goals_for,goals_against,goal_diff,top_scorer,liga
1,45,20,13,13,1,43,18,+25,Mohamed Salah - 14,premier
2,42,20,13,13,4,43,27,+16,Ollie Watkins - 9,premier
3,40,19,12,12,3,45,21,+24,Erling Haaland - 14,premier
4,40,19,12,12,4,37,20,+17,Bukayo Saka - 6,premier
5,39,20,12,12,5,42,29,+13,Son Heung-min - 12,premier
6,34,20,10,10,6,33,30,+3,Jarrod Bowen - 11,premier
7,31,20,8,8,5,38,33,+5,João Pedro - 7,premier
8,31,20,10,10,9,22,27,-5,Scott McTominay - 5,premier
9,29,20,9,9,9,39,29,+10,Alexander Isak - 9,premier
10,28,20,8,8,8,34,31,+3,Cole Palmer - 8,premier
11,28,20,8,8,8,30,31,-1,Hwang Hee-chan - 10,premier
12,25,19,7,7,8,28,35,-7,Dominic Solanke - 12,premier
13,24,19,7,7,10,28,35,-7,Raúl Jiménez - 5,premier
14,21,20,5,5,9,22,29,-7,Odsonne Édouard - 6,premier
15,20,20,5,5,10,24,35,-11,Chris Wood - 7,premier
16,19,20,5,5,10,26,31,-5,Bryan Mbeumo - 7,premier
17,16,20,8,8,10,24,28,-4,Abdoulaye Doucouré - 6,premier
18,15,20,4,4,12,23,37,-14,Elijah Adebayo - 5,premier
19,11,20,3,3,15,20,41,-21,Lyle Foster - 4,premier
20,9,20,2,2,15,15,49,-34,"Oliver McBurnie, Cameron Archer - 3",premier
1,48,19,15,15,1,40,11,+29,Jude Bellingham - 13,la liga
2,48,19,15,15,1,46,24,+22,Artem Dovbyk - 11,la liga
3,41,19,12,12,2,36,22,+14,Robert Lewandowski - 8,la liga
4,38,19,11,11,3,36,19,+17,"Iñaki Williams, Gorka Guruzeta - 8",la liga
5,38,19,12,12,5,39,23,+16,Álvaro Morata - 12,la liga
6,32,19,8,8,3,30,19,+11,Mikel Oyarzabal - 7,la liga
7,28,19,6,6,3,21,20,+1,Willian José - 6,la liga
8,26,19,6,6,5,24,25,-1,Borja Mayoral - 12,la liga
9,26,19,7,7,7,22,23,-1,Hugo Duro - 7,la liga
10,25,19,7,7,8,16,17,-1,Kirian Rodríguez - 3,la liga
11,23,19,5,5,6,18,24,-6,Álvaro García - 4,la liga
12,22,19,6,6,9,22,29,-7,Ante Budimir - 9,la liga
13,20,19,5,5,10,18,27,-9,Samuel Omorodion - 4,la liga
14,19,19,5,5,10,27,38,-11,Gerard Moreno - 9,la liga
15,18,19,3,3,7,17,23,-6,Abdón Prats - 5,la liga
16,16,19,3,3,10,25,30,-5,Youssef En-Nesyri - 5,la liga
17,16,19,3,3,9,20,29,-9,Jørgen Strand Larsen - 7,la liga
18,15,19,2,2,8,14,26,-12,Chris Ramos - 5,la liga
19,11,19,2,2,12,22,40,-18,"Myrto Uzuni, Bryan Zaragoza - 6",la liga
20,5,19,0,0,14,19,43,-24,Sergio Arribas - 5,la liga
1,42,16,13,13,0,46,12,+34,Victor Boniface - 10,bundesliga
2,38,15,12,12,1,49,15,+34,Harry Kane - 21,bundesliga
3,34,16,11,11,4,37,19,+18,Serhou Guirassy - 17,bundesliga
4,33,16,10,10,3,38,17,+21,Loïs Openda - 11,bundesliga
5,27,16,7,7,3,30,25,+5,"Julian Brandt, Niclas Füllkrug... - 5",bundesliga
6,24,16,6,6,4,26,20,+6,Omar Marmoush - 7,bundesliga
7,24,16,7,7,6,32,30,+2,"Andrej Kramarić, Maximilian Beier - 6",bundesliga
8,24,16,7,7,6,21,26,-5,Lucas Höler - 5,bundesliga
9,20,16,6,6,8,25,32,-7,"Tim Kleindienst, Eren Dinkçi - 6",bundesliga
10,19,16,6,6,9,20,27,-7,Jonas Wind - 9,bundesliga
11,18,16,4,4,6,24,31,-7,Ermedin Demirović - 8,bundesliga
12,17,16,4,4,7,31,35,-4,Alassane Pléa - 7,bundesliga
13,16,16,4,4,8,23,30,-7,Marvin Ducksch - 7,bundesliga
14,16,16,3,3,6,18,33,-15,Takuma Asano - 5,bundesliga
